workerid,response6,response7,response4,response5,response2,response3,response1,response8,response9,pref9,obj1,obj3,obj2,ambiguous,slide_number,condition,trial_type,pref8,item,numFeatures,pref1,pref2,pref3,pref4,pref5,pref6,pref7,language,enjoyment,gender,age,comments,assess,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.time_in_minutes
0,0.65,NA,0.75,0,0.65,0.75,0.75,NA,NA,NA,122,113,132,True,3,213211,multi_slider,NA,309,6,red,solid,polka-dotted,green,cloud,striped,NA,English,1,Male,27,,Yes,1,Windows,768,1366,Chrome,3L55D8AUFAS2D7RF611X87PXGEUYC1,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:13:29 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:13:29 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3L55D8AUFAS2D7RF611X87PXGEUYC1,37XITHEISX5W3QDMJ8E5PUSOIV5CRZ,0,Submitted,Fri Dec 21 02:02:53 PST 2018,Thu Dec 20 09:13:35 PST 2018,Thu Dec 20 09:22:53 PST 2018,,,,,,[],9.064233333333334
0,0.65,0.55,0.55,0.65,0.55,0.55,0.55,NA,NA,NA,131,223,323,True,4,121112,multi_slider,NA,979,7,cloud,square,polka-dotted,circle,blue,green,striped,English,1,Male,27,,Yes,1,Windows,768,1366,Chrome,3L55D8AUFAS2D7RF611X87PXGEUYC1,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:13:29 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:13:29 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3L55D8AUFAS2D7RF611X87PXGEUYC1,37XITHEISX5W3QDMJ8E5PUSOIV5CRZ,0,Submitted,Fri Dec 21 02:02:53 PST 2018,Thu Dec 20 09:13:35 PST 2018,Thu Dec 20 09:22:53 PST 2018,,,,,,[],9.064233333333334
0,0.55,0.55,0.55,0.55,0.55,0.65,0.65,0.55,0.65,red,221,332,113,False,5,111111,multi_slider,solid,1276,9,blue,cloud,green,striped,polka-dotted,square,circle,English,1,Male,27,,Yes,1,Windows,768,1366,Chrome,3L55D8AUFAS2D7RF611X87PXGEUYC1,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:13:29 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:13:29 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3L55D8AUFAS2D7RF611X87PXGEUYC1,37XITHEISX5W3QDMJ8E5PUSOIV5CRZ,0,Submitted,Fri Dec 21 02:02:53 PST 2018,Thu Dec 20 09:13:35 PST 2018,Thu Dec 20 09:22:53 PST 2018,,,,,,[],9.064233333333334
0,NA,NA,0.55,0.55,0.6,0,0.5,NA,NA,NA,321,331,322,True,6,322122,multi_slider,NA,2027,5,striped,polka-dotted,square,red,blue,NA,NA,English,1,Male,27,,Yes,1,Windows,768,1366,Chrome,3L55D8AUFAS2D7RF611X87PXGEUYC1,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:13:29 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:13:29 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3L55D8AUFAS2D7RF611X87PXGEUYC1,37XITHEISX5W3QDMJ8E5PUSOIV5CRZ,0,Submitted,Fri Dec 21 02:02:53 PST 2018,Thu Dec 20 09:13:35 PST 2018,Thu Dec 20 09:22:53 PST 2018,,,,,,[],9.064233333333334
0,0.6,0.5,0.6,0.6,0.5,0.6,0.6,NA,NA,NA,223,131,232,True,7,211112,multi_slider,NA,1613,7,polka-dotted,circle,striped,red,blue,green,cloud,English,1,Male,27,,Yes,1,Windows,768,1366,Chrome,3L55D8AUFAS2D7RF611X87PXGEUYC1,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:13:29 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:13:29 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3L55D8AUFAS2D7RF611X87PXGEUYC1,37XITHEISX5W3QDMJ8E5PUSOIV5CRZ,0,Submitted,Fri Dec 21 02:02:53 PST 2018,Thu Dec 20 09:13:35 PST 2018,Thu Dec 20 09:22:53 PST 2018,,,,,,[],9.064233333333334
0,0.5,NA,0.6,0.55,0.55,0.6,0.6,NA,NA,NA,321,111,323,True,8,212122,multi_slider,NA,730,6,striped,cloud,blue,green,solid,square,NA,English,1,Male,27,,Yes,1,Windows,768,1366,Chrome,3L55D8AUFAS2D7RF611X87PXGEUYC1,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:13:29 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:13:29 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3L55D8AUFAS2D7RF611X87PXGEUYC1,37XITHEISX5W3QDMJ8E5PUSOIV5CRZ,0,Submitted,Fri Dec 21 02:02:53 PST 2018,Thu Dec 20 09:13:35 PST 2018,Thu Dec 20 09:22:53 PST 2018,,,,,,[],9.064233333333334
0,0.5,NA,0.55,0.25,0.55,0.55,0.7,NA,NA,NA,211,121,321,True,9,123211,multi_slider,NA,1482,6,solid,square,circle,cloud,blue,striped,NA,English,1,Male,27,,Yes,1,Windows,768,1366,Chrome,3L55D8AUFAS2D7RF611X87PXGEUYC1,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:13:29 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:13:29 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3L55D8AUFAS2D7RF611X87PXGEUYC1,37XITHEISX5W3QDMJ8E5PUSOIV5CRZ,0,Submitted,Fri Dec 21 02:02:53 PST 2018,Thu Dec 20 09:13:35 PST 2018,Thu Dec 20 09:22:53 PST 2018,,,,,,[],9.064233333333334
0,NA,NA,NA,NA,0.45,0.45,0,NA,NA,NA,133,133,133,False,10,323232,multi_slider,NA,1966,3,polka-dotted,cloud,green,NA,NA,NA,NA,English,1,Male,27,,Yes,1,Windows,768,1366,Chrome,3L55D8AUFAS2D7RF611X87PXGEUYC1,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:13:29 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:13:29 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3L55D8AUFAS2D7RF611X87PXGEUYC1,37XITHEISX5W3QDMJ8E5PUSOIV5CRZ,0,Submitted,Fri Dec 21 02:02:53 PST 2018,Thu Dec 20 09:13:35 PST 2018,Thu Dec 20 09:22:53 PST 2018,,,,,,[],9.064233333333334
0,NA,NA,NA,NA,0.5,0.5,0.5,NA,NA,NA,212,212,212,False,11,323232,multi_slider,NA,1978,3,red,circle,solid,NA,NA,NA,NA,English,1,Male,27,,Yes,1,Windows,768,1366,Chrome,3L55D8AUFAS2D7RF611X87PXGEUYC1,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:13:29 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:13:29 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3L55D8AUFAS2D7RF611X87PXGEUYC1,37XITHEISX5W3QDMJ8E5PUSOIV5CRZ,0,Submitted,Fri Dec 21 02:02:53 PST 2018,Thu Dec 20 09:13:35 PST 2018,Thu Dec 20 09:22:53 PST 2018,,,,,,[],9.064233333333334
0,NA,NA,1,0,1,1,0,NA,NA,NA,111,113,112,True,12,113232,multi_slider,NA,2385,5,cloud,red,blue,green,solid,NA,NA,English,1,Male,27,,Yes,1,Windows,768,1366,Chrome,3L55D8AUFAS2D7RF611X87PXGEUYC1,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:13:29 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:13:29 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3L55D8AUFAS2D7RF611X87PXGEUYC1,37XITHEISX5W3QDMJ8E5PUSOIV5CRZ,0,Submitted,Fri Dec 21 02:02:53 PST 2018,Thu Dec 20 09:13:35 PST 2018,Thu Dec 20 09:22:53 PST 2018,,,,,,[],9.064233333333334
